Lemma,Stem,Paradigm,Class,Translation,Source
'a,'aw2,PRONDem+NA+ProxSg,PRONDem+NA+ProxSg,NONE,https://ojibwe.lib.umn.edu/main-entry/a-pron-dem
'aw,'aw,PRONDem+NA+ProxSg,PRONDem+NA+ProxSg,NONE,https://ojibwe.lib.umn.edu/main-entry/aw-pron-dem-ffb511e9-b402-4a24-a8c2-d7c7d114edd0
'i,iw2,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,
'iw,'iw,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,
'iwedi,'iwediw2,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,https://ojibwe.lib.umn.edu/main-entry/iwedi-pron-dem-3cc3f74d-8883-4d08-9313-4ac2fa538361
'o,'ow2,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,https://ojibwe.lib.umn.edu/main-entry/o-pron-dem-9644a223-2d9c-45a9-8a06-6178f7683bdf
'ow,'ow,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,https://ojibwe.lib.umn.edu/main-entry/ow-pron-dem
'owe,'owe,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,https://ojibwe.lib.umn.edu/main-entry/owe-pron-dem-2e8262fa-0922-4b6a-9b77-b45efa426cc8
a'a,a'aw2,PRONDem+NA+ProxSg,PRONDem+NA+ProxSg,NONE,https://ojibwe.lib.umn.edu/main-entry/a-a-pron-dem
a'aw,a'aw,PRONDem+NA+ProxSg,PRONDem+NA+ProxSg,NONE,https://ojibwe.lib.umn.edu/main-entry/a-aw-pron-dem
a'awe,a'awe,PRONDem+NA+ProxSg,PRONDem+NA+ProxSg,NONE,https://ojibwe.lib.umn.edu/main-entry/a-awe-pron-dem
a'awedi,a'awediw2,PRONDem+NA+ProxSg,PRONDem+NA+ProxSg,NONE,https://ojibwe.lib.umn.edu/main-entry/a-awedi-pron-dem
agiw,agiw,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/agiw-pron-dem
aniw,aniw,PRONDem+NA+ObvPl,PRONDem+NA+ObvPl,NONE,https://ojibwe.lib.umn.edu/main-entry/aniw-pron-dem
aniw,aniw,PRONDem+NA+ObvSg,PRONDem+NA+ObvSg,NONE,https://ojibwe.lib.umn.edu/main-entry/aniw-pron-dem
aniw,aniw,PRONDem+NI+Pl,PRONDem+NI+Pl,NONE,https://ojibwe.lib.umn.edu/main-entry/aniw-pron-dem
aw,aw,PRONDem+NA+ProxSg,PRONDem+NA+ProxSg,NONE,https://ojibwe.lib.umn.edu/main-entry/aw-pron-dem
awe,awe,PRONDem+NA+ProxSg,PRONDem+NA+ProxSg,NONE,
awedi,awediw2,PRONDem+NA+ProxSg,PRONDem+NA+ProxSg,NONE,https://ojibwe.lib.umn.edu/main-entry/awedi-pron-dem
i'iw,i'iw,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,https://ojibwe.lib.umn.edu/main-entry/i-iw-pron-dem
i'iwe,i'iwe,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,https://ojibwe.lib.umn.edu/main-entry/i-iwe-pron-dem-de8ef725-04d1-4873-a7c1-ecc89cb6f0e3
i'iwedi,i'iwediw2,PRONDem+NI+Sg,PRONDem+NI+Sg,NONE,https://ojibwe.lib.umn.edu/main-entry/i-iwedi-pron-dem
igi,igiw2,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,
igiw,igiw,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/igiw-pron-dem
igiwe,igiwe,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/igiwe-pron-dem
igiwedi,igiwediw2,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/igiwedi-pron-dem
igiwedig,igiwedig,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/igiwedig-pron-dem
igiweg,igiweg,PRONDem+NA+ProxPl,PRONDem+NA+ProxPl,NONE,https://ojibwe.lib.umn.edu/main-entry/igiweg-pron-dem
